# Zrodlo danych: PharmaTrack Sell-Out Panel PL (panel aptek)
# Eksport wygenerowany: 2026-04-01 03:14:22
# Okres deklarowany: 2026-03
# Separator pol: | ; kodowanie: UTF-8 ; separator dziesietny: przecinek
# UWAGA: eksport wykonany w dwoch przebiegach - load_id L20260401A oraz L20260401B
# typ_transakcji: SPRZEDAZ | ZWROT | PROMO
load_id|data_sprzedazy|apteka_id|nazwa_apteki|wojewodztwo|kanal|ean|nazwa_produktu|opakowania|wartosc_pln|typ_transakcji
L20260401A|2026-04-02|41|Apteka Nowa 1241|mazowieckie|niezalezna|5909991234561|VITARIS D3 2000|1|23,81|SPRZEDAZ
L20260401A|27.03.2026|APT-000025|Melisa 1412|malopolskie|SIEĆ |5909991234585|Magnovit B6 50 tabl.|3|54,99|SPRZEDAZ
L20260401A|2026-03-11|65|PharmaPlus 1011|mazowieckie|Sieć|5909991234561|VITARIS D3 2000 J.M.|1|24,59|SPRZEDAZ
L20260401A|2026-03-28|APT-000074|PharmaPlus 1359 (Nowa Farmacja Sp. z o.o.)|wielkopolskie|SIEĆ |5909991234585|MAGNOVIT B6|1|19,19|SPRZEDAZ
L20260401A|2026-03-28|APT-000082|Melisa 1083|pomorskie|SIEC|5909991234578|Vitaris D3 4000 j.m. 30 kaps.|2|63,03 PLN|SPRZEDAZ
L20260401A|2026-03-26|22|Apteka Panaceum 1285|wielkopolskie|indyw|5909991234608|Allertis 10 mg 30 tabl.|1|14,61 PLN|SPRZEDAZ
L20260401A|13/03/2026|APT-000042|Apteka Sloneczna 1401|mazowieckie|niezalezna|5909991234578|VITARIS D3 4000|1|30,66 PLN|SPRZEDAZ
L20260401A|2026-03-30|48|PharmaPlus 1347|mazowieckie|SIEĆ |5909991234561|Vitaris D3 2000 j.m. 60 kaps.|1|24,84|SPRZEDAZ
L20260401A|2026-03-24|APT-000265|Apteka pod Lipa 1335|slaskie|niezalezna|5909991234608|Allertis 10 mg 30 tabl.|3|41,76 PLN|SPRZEDAZ
L20260401B|10.03.2026|APT-000343|Apteka Zdrowie 1220|slaskie|sieciowa|5909991234578|VITARIS D3 4000|1|33,09|SPRZEDAZ
L20260401A|2026-02-26|APT-000324|Apteka Panaceum 1044|mazowieckie|INDYWIDUALNA|5909991234608|ALLERTIS 10MG|2|29,01|SPRZEDAZ
L20260401A|2026-03-31|230|Apteka Rodzinna 1339|slaskie|indyw|5909991234578|VITARIS D3 4000|1|32,95|SPRZEDAZ
L20260401A|2026-03-31|APT-000052|Dbam o Zdrowie Plus 1075|slaskie|SIEC|5909991234578|VITARIS D3 4000|3|93,10|SPRZEDAZ
L20260401A|26.02.2026|APT-000186|Apteka Vita 1256|wielkopolskie|INDYWIDUALNA|5909991234561|VITARIS D3 2000 J.M.|1|23,69|SPRZEDAZ
L20260401A|08.03.2026|244|Dbam o Zdrowie Plus 1259|malopolskie|siec|5909991234561|Vitaris D3 2000 j.m. 60 kaps.|1|24,90|SPRZEDAZ
L20260401A|2026-03-06|APT-000152|Apteka pod Orlem 1191|slaskie|INDYW|5909991234585|MAGNOVIT B6|2|37,96|SPRZEDAZ
L20260401A|2026-03-10|0000389|PharmaPlus 1204|slaskie|SIEC|5909991234561|VITARIS D3 2000|1|25,56|SPRZEDAZ
L20260401A|2026-03-20|APT-000280|Dbam o Zdrowie Plus 1070|slaskie|SIEĆ |5909991234578|Vitaris D3 4000 j.m. 30 kaps.|1|32,53|SPRZEDAZ
L20260401A|24/03/2026|0000046|Apteka Rodzinna 1052|pomorskie|indyw|5909991234578|VITARIS D3 4000|1|31,48|SPRZEDAZ
L20260401A|17/03/2026|APT-000213|Apteka Familijna 1307|malopolskie|SIEC|5909991234561|VITARIS D3 2000|2|47,05|SPRZEDAZ
L20260401A|2026-03-28|APT-000305|PharmaPlus 1022|dolnoslaskie|sieciowa|5909991234592|GINKOMAX 120|1|28,35|SPRZEDAZ
L20260401A|10/03/2026|APT-000216|PharmaPlus 1104|pomorskie|sieciowa|5909991234578|Vitaris D3 4000 j.m. 30 kaps.|3|101,93|SPRZEDAZ
L20260401A|2026-03-06|0000003|PharmaPlus 1091|slaskie|siec|5909991234585|MAGNOVIT B6|1|17,82|SPRZEDAZ
L20260401A|2026-03-25|0000157|Melisa 1379|malopolskie|SIEĆ |5909991234561|VITARIS D3 2000|1|25,29 PLN|SPRZEDAZ
L20260401A|10.03.2026|143|Apteka Zielona 1078|malopolskie|INDYWIDUALNA|5909991234578|VITARIS D3 4000|1|33,61|SPRZEDAZ
L20260401A|28.03.2026|APT-000196|Apteka Sloneczna 1009|slaskie|Indywidualna|5909991234561|Vitaris D3 2000 j.m. 60 kaps.|1|25,78|SPRZEDAZ
L20260401A|2026-03-01|415|Apteka Zielona 1016|dolnoslaskie|niezalezna|5909991234608|ALLERTIS 10|1|14,92|SPRZEDAZ
L20260401A|2026-03-10|APT-000279|Apteka Nowa 1338|malopolskie|INDYWIDUALNA|5909991234592|Ginkomax 120 mg 60 tabl.|1|28,59|SPRZEDAZ
L20260401A|2026-03-09|APT-000044|PharmaPlus 1124|malopolskie|siec|5909991234561|Vitaris D3 2000 j.m. 60 kaps.|1|25,54|SPRZEDAZ
L20260401A|2026-03-04|21|Melisa 1290|dolnoslaskie|SIEĆ |5909991234578|VITARIS D3 4000 J.M.|3|102,95|SPRZEDAZ
L20260401A|30.03.2026|APT-000248|Apteka Sloneczna 1333|wielkopolskie|Indywidualna|5909991234608|Allertis 10 mg 30 tabl.|1|14,10|SPRZEDAZ
L20260401A|2026-03-19|338|Apteka pod Lipa 1001|mazowieckie|INDYWIDUALNA|5909991234578|VITARIS D3 4000 J.M.|2|68,41|SPRZEDAZ
L20260401A|2026-03-03|0000371|Dbam o Zdrowie Plus 1064|mazowieckie|sieciowa|5909991234578|Vitaris D3 4000 j.m. 30 kaps.|3|97,97|SPRZEDAZ
L20260401A|2026-03-18|APT-000265|Apteka pod Lipa 1335|slaskie|indyw|5909991234578|VITARIS D3 4000 J.M.|2|66,74|SPRZEDAZ
L20260401A|2026-03-13|358|Apteka Zdrowie 1282|mazowieckie|sieciowa|5909991234561|VITARIS D3 2000|1|25,20|SPRZEDAZ
L20260401A|12.03.2026|0000041|Apteka Nowa 1241|mazowieckie|INDYW|5909991234592|Ginkomax 120 mg 60 tabl.|1|29,29|SPRZEDAZ
L20260401A|2026-03-25|APT-000328|Apteka Familijna 1115|malopolskie|Sieć|5909991234585|Magnovit B6 50 tabl.|2|36,64|SPRZEDAZ
L20260401A|2026-03-30|APT-000186|Apteka Vita 1256|wielkopolskie|indyw|5909991234578|VITARIS D3 4000|1|30,61|SPRZEDAZ
L20260401A|03.03.2026|0000309|Apteka Sloneczna 1106|mazowieckie|indyw|5909991234578|VITARIS D3 4000|2|66,31|SPRZEDAZ
L20260401A|2026-03-19|0000048|PharmaPlus 1347|mazowieckie|Sieć|5909991234578|VITARIS D3 4000|1|31,99|SPRZEDAZ
L20260401A|2026-03-03|385|Apteka Zdrowie 1325|malopolskie|SIEC|5909991234585|Magnovit B6 50 tabl.|1|19,93|SPRZEDAZ
L20260401A|2026-03-30|81|Apteka Ratuszowa 1246|wielkopolskie|niezalezna|5909991234585|Magnovit B6 50 tabl.|3|54,40|SPRZEDAZ
L20260401A|2026-03-18|APT-000340|PharmaPlus 1086|dolnoslaskie|SIEĆ |5909991234578|VITARIS D3 4000|1|30,80 PLN|SPRZEDAZ
L20260401A|05.03.2026|0000183|Apteka Zielona 1072|slaskie|INDYW|5909991234592|GINKOMAX 120|1|31,07 PLN|SPRZEDAZ
L20260401A|02.03.2026|0000291|Apteka Zdrowie 1102|dolnoslaskie|Sieć|5909991234578|Vitaris D3 4000 j.m. 30 kaps.|2|63,07|SPRZEDAZ
L20260401A|2026-03-02|APT-000373|Apteka Zdrowie 1137|dolnoslaskie|sieciowa|5909991234561|VITARIS D3 2000|1|26,21|SPRZEDAZ
L20260401A|10.03.2026|39|Dbam o Zdrowie Plus 1392|malopolskie|Sieć|5909991234561|VITARIS D3 2000 J.M.|1|24,91|SPRZEDAZ
L20260401A|2026-03-15|348|Apteka Hygieia 1353|wielkopolskie|INDYWIDUALNA|5909991234608|Allertis 10 mg 30 tabl.|2|30,05|SPRZEDAZ
L20260401A|2026-02-26|APT-000294|Apteka Zdrowie 1207|wielkopolskie|Sieć|5909991234592|GINKOMAX 120|1|30,86 PLN|SPRZEDAZ
L20260401A|26/03/2026|APT-000390|Apteka Hygieia 1202|wielkopolskie|INDYW|5909991234608|ALLERTIS 10|1|14,20|SPRZEDAZ
L20260401A|28.02.2026|298|Apteka Panaceum 1173|wielkopolskie|INDYWIDUALNA|5909991234585|MAGNOVIT B-6|2|37,31|SPRZEDAZ
L20260401A|2026-03-19|APT-000091|Apteka pod Lipa 1076|pomorskie|Indywidualna|5909991234585|MAGNOVIT B6|1|17,77|SPRZEDAZ
L20260401A|2026-03-06|APT-000253|Dbam o Zdrowie Plus 1199|mazowieckie|SIEC|5909991234608|ALLERTIS 10|1|15,30|SPRZEDAZ
L20260401A|05/03/2026|APT-000126|Apteka Rodzinna 1055|wielkopolskie|niezalezna|5909991234585|MAGNOVIT B-6|1|18,09|SPRZEDAZ
L20260401A|2026-03-28|APT-000032|PharmaPlus 1350|pomorskie|sieciowa|5909991234578|VITARIS D3 4000|1|34,39|SPRZEDAZ
L20260401A|2026-03-17|APT-000105|Apteka Salus 1093|malopolskie|niezalezna|5909991234585|MAGNOVIT B6|1|17,80|SPRZEDAZ
L20260401A|2026-03-31|48|PharmaPlus 1347|mazowieckie|Sieć|5909991234592|GINKOMAX 120|1|28,37|SPRZEDAZ
L20260401A|03.03.2026|383|Dbam o Zdrowie Plus 1217|pomorskie|SIEC|5909991234592|Ginkomax 120 mg 60 tabl.|1|30,01|SPRZEDAZ
L20260401A|2026-03-23|APT-000315|Apteka pod Lipa 1186|pomorskie|Indywidualna|5909991234561|VITARIS D3 2000 J.M.|1|25,42|SPRZEDAZ
L20260401B|25.03.2026|0000191|Dbam o Zdrowie Plus 1362|pomorskie|SIEC|5909991234585|Magnovit B6 50 tabl.|1|19,36|SPRZEDAZ
L20260401A|07/03/2026|396|Apteka pod Orlem 1406|malopolskie|INDYW|5909991234561|Vitaris D3 2000 j.m. 60 kaps.|3|73,33|SPRZEDAZ
L20260401A|06.03.2026|318|Apteka Salus 1049|pomorskie|INDYW|5909991234608|ALLERTIS 10|3|43,63|SPRZEDAZ
L20260401A|11.03.2026|APT-000188|Dbam o Zdrowie Plus 1216|mazowieckie|SIEC|5909991234578|VITARIS D3 4000|1|33,73|SPRZEDAZ
L20260401A|2026-03-15|247|Dbam o Zdrowie Plus 1195|malopolskie|SIEC|5909991234608|ALLERTIS 10|6|82,29|SPRZEDAZ
L20260401A|06.03.2026|357|Apteka Familijna 1017|mazowieckie|SIEC|5909991234608|ALLERTIS 10|1|14,82|SPRZEDAZ
L20260401A|2026-03-04|0000161|Apteka Zdrowie 1384|slaskie|Sieć|5909991234585|MAGNOVIT B6|1|19,52|SPRZEDAZ
L20260401A|2026-03-11|173|PharmaPlus 1311|malopolskie|Sieć|5909991234592|GINKOMAX 120|1|30,77|SPRZEDAZ
L20260401A|2026-03-12|0000299|Apteka Zdrowie 1352|dolnoslaskie|sieciowa|5909991234561|VITARIS D3 2000 J.M.|-|72,08|SPRZEDAZ
L20260401A|09.03.2026|APT-000178|Melisa 1056|wielkopolskie|SIEC|5909991234608|ALLERTIS 10|9|125,62 PLN|SPRZEDAZ
L20260401A|2026-03-04|APT-000334|Dbam o Zdrowie Plus 1071|slaskie|sieciowa|5909991234585|MAGNOVIT B6|2|38,66 PLN|SPRZEDAZ
L20260401A|2026-03-07|APT-000155|Apteka Panaceum 1034|mazowieckie|niezalezna|5909991234608|ALLERTIS 10|1|13,79|SPRZEDAZ
L20260401A|03/03/2026|APT-000027|PharmaPlus 1005|mazowieckie|sieciowa|5909991234592|GINKOMAX 120|1|30,34 PLN|SPRZEDAZ
L20260401A|2026-03-24|117|Apteka pod Lipa 1370|pomorskie|INDYWIDUALNA|5909991234561|Vitaris D3 2000 j.m. 60 kaps.|1|0,00|PROMO
L20260401A|2026-02-28|APT-000375|Apteka Zdrowie 1068|pomorskie|siec|5909991234578|VITARIS D3 4000|1|32,35|SPRZEDAZ
L20260401B|2026-03-19|APT-000296|Apteka Zdrowie 1184|slaskie|Sieć|5909991234561|Vitaris D3 2000 j.m. 60 kaps.|-|0,00|PROMO
L20260401A|2026-03-15|APT-000279|Apteka Nowa 1338|malopolskie|Indywidualna|5909991234585|MAGNOVIT B-6|1|18,52|SPRZEDAZ
L20260401A|2026-03-07|APT-000013|PharmaPlus 1371|slaskie|SIEĆ |5909991234561|VITARIS D3 2000|1|23,97 PLN|SPRZEDAZ
L20260401A|20.03.2026|229|Apteka Centrum 1132|pomorskie|INDYW|5909991234561|VITARIS D3 2000 J.M.|1|26,20 PLN|SPRZEDAZ
L20260401A|06.03.2026|280|Dbam o Zdrowie Plus 1070|slaskie|siec|5909991234578|VITARIS D3 4000 J.M.|1|31,92|SPRZEDAZ
L20260401A|2026-03-28|APT-000093|PharmaPlus 1310|mazowieckie|Sieć|5909991234561|VITARIS D3 2000|1|23,81|SPRZEDAZ
L20260401A|2026-03-03|0000230|Apteka Rodzinna 1339|slaskie|niezalezna|5909991234608|ALLERTIS 10MG|1|14,82 PLN|SPRZEDAZ
L20260401A|2026-03-23|APT-000173|PharmaPlus 1311|malopolskie|SIEĆ |5909991234592|Ginkomax 120 mg 60 tabl.|4|124,07 PLN|SPRZEDAZ
